booking_id,passenger_token,flight_id,booking_ts,status,airline_key,route_key,flight_date_key,booking_date_key,flight_reference_status,passenger_reference_status,booking_exact_duplicate,booking_id_repeated,booking_id_normalization_collision,passenger_id_normalization_collision,flight_id_normalization_collision,status_missing,status_blank,status_unrecognized,booking_date_parse_issue,booking_after_departure,payment_record_count,usable_amount_count,unusable_amount_count,known_payment_amount,amount_coverage
B1000,569a4aa6fa66128cd54877775f82dd9030e6a7cc840232b2c85c2ef016fdd1f7,AI192,2025-06-14T11:37:36.951000,CANCELLED,1,27,20260420,20250614,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1001,e85d3ac7ebe9f625b0f6dfec97e7d8e55fb6b05adbf9d02edd4b2b18c215f6eb,6F026,2025-11-02T11:37:36.951000,CANCELLED,2,7,20260420,20251102,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1002,df27058b978438264a4f0a5261dfc2680643d29d8d844826ed57392a0d2f129f,SJ010,2025-08-25T11:37:36.951000,CANCELLED,3,15,20260420,20250825,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,2,2,0,8593.08,complete amount coverage
B1003,519b34d5c70cec10b6e58bd769e1c07740927e7516417618b8ef4e2f10b39ef2,AI069,2025-12-30T11:37:36.951000,CONFIRMED,0,17,20260420,20251230,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1004,09f08206ca9bfaf4337b635c1ba42c62c817e1595248c7a2a092362bb1b7b445,UK003,2025-10-02T11:37:36.951000,PENDING,0,24,20260420,20251002,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,12222.48,complete amount coverage
B1005,ee7f334c16fdde5bb2b98b3ce668cfcf476dd5e8743622704d9679a67aeacfc3,AI048,2025-08-31T11:37:36.951000,CONFIRMED,1,13,20260420,20250831,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,13378.90,complete amount coverage
B1006,ea586b1b9ba7dfbbdf579d4c31c90e4b01b07bec762ab017ea54be0fb6c0423f,AI140,2025-06-29T11:37:36.951000,CANCELLED,1,8,20260420,20250629,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,1,1,0,14980.37,complete amount coverage
B1007,7b10f8393cc58aae86dcfa37a3111d55ba34c0453b170e4934c87977cd21f541,UK167,2026-03-12T11:37:36.951000,CONFIRMED,4,20,20260420,20260312,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1008,5997f99370d6e91f986b24d77a4fcbea3866ec28b8d4a9be0a95b9528a746c84,AI245,2025-09-07T11:37:36.951000,PENDING,1,7,20260420,20250907,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
B1009,36101c3d61a55d1b8c1f90a8f818e66d5031097d3dc2c0e338d45b218e2077d9,SJ158,2025-04-28T11:37:36.951000,CANCELLED,3,19,20260420,20250428,accepted,existing-unique,0,0,0,0,0,0,0,0,0,0,0,0,0,,no payment record in this extract
