payment_id,booking_id,matched_booking_id,payment_method,usable_amount,amount_missing,amount_blank,amount_nonnumeric,amount_nonfinite,amount_negative,amount_zero,amount_extra_precision,amount_usable,payment_method_missing,payment_method_blank,payment_method_unrecognized,payment_id_repeated,payment_exact_duplicate,booking_reference_status,payment_source_row
PAY1000,B1116,B1116,NETBANKING,9883.49,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,2
PAY1001,B1738,B1738,NETBANKING,8457.96,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,3
PAY1002,B1873,B1873,UPI,6495.37,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,4
PAY1003,B1914,B1914,NETBANKING,5079.38,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,5
PAY1004,B1967,B1967,CARD,12518.31,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,6
PAY1005,B1998,B1998,CARD,7319.71,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,7
PAY1006,B1544,B1544,CARD,8020.26,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,8
PAY1007,B1043,B1043,UPI,8291.60,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,9
PAY1008,B1508,B1508,CARD,7277.14,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,10
PAY1009,B1987,B1987,CARD,4585.24,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,11
PAY1010,B1164,B1164,UPI,2684.77,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,12
PAY1011,B1367,B1367,CARD,2379.52,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,13
PAY1012,B1856,B1856,CARD,11604.48,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,14
PAY1013,B1291,B1291,NETBANKING,4129.39,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,15
PAY1014,B1848,B1848,UPI,1779.42,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,16
PAY1015,B1855,B1855,CARD,12165.24,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,17
PAY1016,B1916,B1916,CARD,3156.86,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,18
PAY1017,B1897,B1897,CARD,9752.05,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,19
PAY1018,B1798,B1798,CARD,,1,0,0,0,0,0,0,0,0,0,0,0,0,uniquely_matched,20
PAY1019,B1875,B1875,NETBANKING,,0,0,1,0,0,0,0,0,0,0,0,0,0,uniquely_matched,21
PAY1020,B1736,B1736,NETBANKING,6802.73,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,22
PAY1021,B1285,B1285,NETBANKING,1207.32,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,23
PAY1022,B1203,B1203,NETBANKING,12774.63,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,24
PAY1023,B1683,B1683,UPI,8188.97,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,25
PAY1024,B1523,B1523,CARD,,1,0,0,0,0,0,0,0,0,0,0,0,0,uniquely_matched,26
PAY1025,B1818,B1818,NETBANKING,4317.72,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,27
PAY1026,B1120,B1120,CARD,,1,0,0,0,0,0,0,0,0,0,0,0,0,uniquely_matched,28
PAY1027,B1944,B1944,UPI,3644.17,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,29
PAY1028,B1755,B1755,CARD,4760.39,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,30
PAY1029,B1663,B1663,CARD,8481.40,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,31
PAY1030,B1663,B1663,NETBANKING,12656.53,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,32
PAY1031,B1187,B1187,NETBANKING,6625.76,0,0,0,0,0,0,0,1,0,0,0,0,0,uniquely_matched,33
